"expr","format","star"
"esri","Geo","2"
"gml","Geo","2"
"shp","Geo","2"
"esri arc export","Geo","2"
"esri shape files","Geo","2"
".geojson","Geo","2"
"esri shape","Geo","2"
"geotif","Geo","2"
"geotiff","Geo","2"
"ppt kmz doc","Geo","2"
"example/html+rdfa","HTML","2"
"html page","HTML","2"
"html/doc","HTML","2"
"xhtml+rdfa","HTML","2"
"html","HTML","2"
"xhtml","HTML","2"
"application/xhtml+xml","HTML","2"
"html5","HTML","2"
"xhtml rdf/xml turtle","HTML","2"
"html+rdfa","HTML","2"
"htm","HTML","2"
"tml","HTML","2"
"image/png","Image","1"
"tiff","Image","1"
"jpeg","Image","1"
"gif","Image","1"
"SHAPE","Image","1"
"ai","Image","1"
"png jpg txt","Image","1"
"image/tiff","Image","1"
"image/jpeg","Image","1"
"image (nifti)","Image","1"
"png jpg","Image","1"
"jpg","Image","1"
"shape jpg pdf","Image","1"
"dxf","Image","1"
"png","Image","1"
".png","Image","1"
"json in zip","JSON","3"
"topojson","JSON","3"
"json xml","JSON","3"
"|application/tgz||text/jsondir|","JSON","3"
"zip:json","JSON","3"
"xml json","JSON","3"
"json","JSON","3"
"jsonp","JSON","3"
"marc21","MARC","3"
"application/marc","MARC","3"
"marc 21","MARC","3"
"marc","MARC","3"
"marcxml","MARC","3"
"tomtom","Map",""
"map","Map",""
"garmin","Map",""
"pdf","PDF","1"
"zip:pdf","PDF","1"
"html pdf","PDF","1"
"pdf:0_documentation","PDF","1"
"|html || pdf|","PDF","1"
":owl","RDF","1"
"text/turtle","RDF","1"
"appliation/x-trig","RDF","1"
"application/x-nquads","RDF","1"
"application/x-ntriples","RDF","1"
"rdf/turtle","RDF","1"
"text/n3","RDF","1"
"gzip::nquads","RDF","1"
"application/n-triples","RDF","1"
"n-triples","RDF","1"
"owl","RDF","1"
"n3","RDF","1"
"rdf-turtle","RDF","1"
"linked data","RDF","1"
"rdf","RDF","1"
"meta/owl","RDF","1"
"application/x-trig","RDF","1"
"mapping/twc-conversion","RDF","1"
"mapping/owl","RDF","1"
"ontology","RDF","1"
"meta/void","RDF","1"
"ttl","RDF","1"
"turtle","RDF","1"
"nt","RDF","1"
"xml json rdf","RDF","1"
"rdf sparql+xml","RDF","1"
"rdn-n3","RDF","1"
"/owl","RDF","1"
":nt","RDF","1"
"rdf-xml","RDF","1"
"rdf/dcat","RDF","1"
"rdf-n3","RDF","1"
"rdf/nt","RDF","1"
"rdf/n3","RDF","1"
"meta/rdf-schema","RDF","1"
"api/linked-data","RDF","1"
"rdf:products:org:openfoodfacts","RDF","1"
"application/%trig","RDF","1"
"application/rdf_xml","RDF","1"
"rdfa","RDF","1"
"rdf xml","RDF","1"
"rdf/void","RDF","1"
"text/rdf+n3","RDF","1"
"rdfs","RDF","1"
"gzip:ntriples","RDF","1"
"application/xml+rdf","RDF","1"
"ntriples","RDF","1"
"nquads","RDF","1"
"bz2:nt","RDF","1"
"application/x-turtle","RDF","1"
"rdf/xml turtle html","RDF","1"
"application/trix","RDF","1"
"rdf/xml html json","RDF","1"
"gz:nt","RDF","1"
"data file in excel and rdf","RDF","1"
"text/rdf+ttl","RDF","1"
"trig","RDF","1"
"gzip:text/turtle","RDF","1"
"rdf csv xml","RDF","1"
"application/turtle","RDF","1"
"rdfxml","RDF","1"
"application/rdfs","RDF","1"
"gz:ttl:owl","RDF","1"
"html rdf","RDF","1"
"rdf (gzipped)","RDF","1"
"application/x-pdf","RDF","1"
"json ld","RDF","1"
"rdf/provenance","RDF","1"
"rdf owl","RDF","1"
"text/ntriples","RDF","1"
"compressed tarfile containing n-triples","RDF","1"
"rdf nt","RDF","1"
"gz:ttl","RDF","1"
"ttl:e1:csv","RDF","1"
"7z:ttl","RDF","1"
"mapping/rdfs","RDF","1"
"application/rdf+json","RDF","1"
"owl ontology meta/owl","RDF","1"
"application/ld+json","RDF","1"
"rdf+xml","RDF","1"
"json-ld","RDF","1"
"meta/rdf+schema","RDF","1"
"gz:nq","RDF","1"
"html rdf dcif","RDF","1"
"xml rdf+xml turtle and json","RDF","1"
"application/ntriples","RDF","1"
"ttl.bzip2","RDF","1"
"rdf/license","RDF","1"
"georss","RSS","3"
"rss1.0","RSS","3"
"application/rss+xml","RSS","3"
"application/xml+atom","RSS","3"
"application/atom+xml","RSS","3"
"xml/atom/rss","RSS","3"
"sesame repository","Repository",""
"git","Repository",""
"cvs","Repository",""
"oai-pmh","Repository",""
"api/git","Repository",""
"torrent","Repository",""
"datapkg/%","Repository",""
"index/ftp","Repository",""
"sparql","SPARQL","4"
"sparql-xml","SPARQL","4"
"|application/sparql-results+xml||||text/rdf+n3||||text/rdf+ttl||||text/rdf+turtle||||text/turtle||||text/n3||||application/turtle||||application/x-turtle||||application/rdf+xm|","SPARQL","4"
"api/sparql","SPARQL","4"
"sparql-json","SPARQL","4"
"sparql endpoint","SPARQL","4"
"rdf endpoint","SPARQL","4"
"sql","SQL",""
"javascript","Script",""
"py","Script",""
"js","Script",""
"python source code","Script",""
"python shell script","Script",""
"python script on wiki","Script",""
"src-hg/python","Script",""
"text/javascript","Script",""
"application/x-javascript","Script",""
"python script","Script",""
"python","Script",""
".mif .mid","Sound","1"
"ods","Spreadsheet","3"
"spreadsheet","Spreadsheet","2"
"openxmlformats_spreadsheetml","Spreadsheet","3"
"csv and xls","Spreadsheet","2"
"csv xls m.fl.","Spreadsheet","2"
"pdf / xls","Spreadsheet","2"
"zip:xls","Spreadsheet","2"
"xlsx","Spreadsheet","2"
"xls","Spreadsheet","2"
"microsoft excel","Spreadsheet","2"
"data file in excel","Spreadsheet","2"
"application/vnd.ms-excel","Spreadsheet","2"
"excel","Spreadsheet","2"
"gdocs","Spreadsheet","2"
"googledoc","Spreadsheet","2"
"services/gdocs/spreadsheet","Spreadsheet","2"
"googlespreadsheet","Spreadsheet","2"
"gdocs/table","Spreadsheet","2"
"gdocs/ccc","Spreadsheet","2"
"xls csv","Spreadsheet","2"
"csv xls openoffice pdf mm","Spreadsheet","2"
"application/ods","Spreadsheet","3"
"xslx","Spreadsheet","2"
"application/x-vnd.oasis.opendocument.spreadsheet","Spreadsheet","3"
"csv xls prn dbase med flere","Spreadsheet","2"
"xls html ascii","Spreadsheet","2"
"html xls pdf","Spreadsheet","2"
"html xls","Spreadsheet","2"
"xls html pdf","Spreadsheet","2"
"xls (zip)","Spreadsheet","2"
"format-xls","Spreadsheet","2"
".xlxs","Spreadsheet","2"
"data file in stata and excel","Spreadsheet","2"
"data file in excel and stata","Spreadsheet","2"
"application/x-excel","Spreadsheet","2"
"ms excel csv","Spreadsheet","2"
"application/vnd.ms-excel.sheet.binary.macroenabled.12","Spreadsheet","2"
"application/zip+vnd.ms-excel","Spreadsheet","2"
"application/zip+application/vnd.ms-excel","Spreadsheet","2"
"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","Spreadsheet","3"
"google spreadsheet","Spreadsheet","2"
"openoffice_calc","Spreadsheet","3"
"gdocs/spreadsheet","Spreadsheet","2"
"application/vnd.oasis.opendocument.spreadsheet","Spreadsheet","3"
"ascii","TXT","1"
"TEXT","TXT","1"
"gz:txt","TXT","1"
"gzip+txt","TXT","1"
"txt:r","TXT","1"
"text/ascii","TXT","1"
"plain text","TXT","1"
"text/plain","TXT","1"
"zip:txt","TXT","1"
"txt (zipped)","TXT","1"
"txt","TXT","1"
"web page","URL",""
"aspx","URL",""
"website","URL",""
"url","URL","1"
"jsp","URL","1"
"uri","URL","1"
"web site","URL",""
"php","URL",""
"asp","URL",""
"yaml","XML","2"
"wsdl","XML","2"
"xml (zipped)","XML","2"
"xml","XML","2"
"xml (tomorrow country)","XML","2"
"xml (current metro)","XML","2"
"xml (current country)","XML","2"
"xml+gzip","XML","2"
"xsl","XML","2"
"api/opensearch","XML","2"
"html xml xml+xslt","XML","2"
"xml (zipado)","XML","2"
"tgz:xml","XML","2"
"xml_atom","XML","2"
"xml /  jpg","XML","2"
"bz2:xml","XML","2"
"xml (tomorrow)","XML","2"
"xml (current)","XML","2"
"xml (tomorrow metro)","XML","2"
"example/xhtml+xml","XML","2"
"application/unixref+xml","XML","2"
"application/wsdl+xml","XML","2"
"gz:xml","XML","2"
"xml:txt","XML","2"
":xml","XML","2"
"atom_xml","XML","2"
"rss","XML","2"
"atom","XML","2"
"XSD","XML","2"
"xsd","XML","2"
"rss+xml","XML","2"
"meta/sitemap","XML","2"
"json or xml","XML","2"
"other","n/a",""
"various","n/a",""
"-","n/a",""
"n/a","n/a",""
