dataset_name,resource_name,resource_url,resource_tracking_summary_total,,result,,,
eurostat-rdf,n/a,http://ec.europa.eu/eurostat/ramon/rdfdata/estat-legis.rdf,31,,done,,,
lower-layer-super-output-areas,n/a,http://opendatacommunities-downloads.s3.amazonaws.com/lsoa.ttl.zip,31,,done,,,
meducator,n/a,http://purl.org/meducator/ns,31,,done,,,
nytimes-linked-open-data,n/a,http://data.nytimes.com/descriptors.rdf,31,,done,,,
odc-lsoa,n/a,http://opendatacommunities-downloads.s3.amazonaws.com/lsoa.ttl.zip,31,,done,,,
riese,n/a,http://riese.joanneum.at/dump/,31,,Parse error,,,
socialsemweb-thesaurus,n/a,http://ckan.net/storage/f/file/80d5f096-e1ad-489f-9ff4-793e6f5f04d2,31,,Parse error,,,
nytimes-linked-open-data,n/a,http://data.nytimes.com/organizations.rdf,30,,Done,,,
addgene,n/a,http://purl.org/hcls/2007/kb-sources/addgene.ttl,29,,not found,,,
allen-brain-atlas,n/a,http://purl.org/hcls/2007/kb-sources/aba-2007-08-07.tgz,29,,not found,,,
bible-ontology,n/a,http://bibleontology.com/data/Dan?output=n3,29,,Parse error,,,
data-bnf-fr,Full dump of data.bnf.fr,http://echanges.bnf.fr/PIVOT/databnf_all_rdf_xml.tar.gz?user=databnf&password=databnf,29,,not found,,,
environmental-applications-reference-thesaurus,EARTh Dump in RDF/XML,http://purl.oclc.org/net/DumpEarthRDF,29,,done,,,
fu-berlin-diseasome,n/a,http://www4.wiwiss.fu-berlin.de/diseasome/diseasome_dump.nt.bz2,29,,not found,,,
polymath-virtual-library,Polgrafos espaoles = Spanish Polymath,https://commondatastorage.googleapis.com/ckannet-storage/2012-05-23T160246/Poligrafos_espanoles_edm.zip,29,,Parse error,,,
semsol-crunchbase,n/a,http://cb.semsol.org/sparql?query=dump,29,,Parse error,,,
vivo-indiana-university,n/a,http://softlayer.dl.sourceforge.net/project/vivo/Ontology/vivo-core-1.1.owl,29,,done,,,
vivo-university-of-florida,n/a,http://softlayer.dl.sourceforge.net/project/vivo/Ontology/vivo-core-1.1.owl,29,,done,,,
data-gov-uk-time-intervals,n/a,http://reference.data.gov.uk/def/intervals,27,,done,,,
data-incubator-metoffice,n/a,http://metoffice.dataincubator.org/vocabs/metoffice/,27,,not found,,,
europeana-lod-v1,n/a,http://data.europeana.eu/data/item/09404/C3C50BD0958EE18ECE1B8F93780DC84D8273664F,27,,not found,,,
europeana-lod-v1,n/a,http://data.europeana.eu/download/1.1/datasets/nt/92039_Ag_EU_TEL_a0005_Portugal.nt.bz2,27,,done,,,
nvd,n/a,http://www.ntnu.no/ub/data/nvd/,27,,Parse error,,,
taxonconcept,TaxonConcept Ontology,http://lod.taxonconcept.org/ontology/txn.owl,27,,done,,,
data-bnf-fr,n/a,http://data.bnf.fr/12417486/alexandre_dumas_la_reine_margot/rdf.nt,25,,done,,,
dbtropes,n/a,http://dbtropes.org/static/dbtropes.zip,25,,CANNOT LOAD,5-Star Linked Data,,
dbtune-john-peel-sessions,n/a,http://moustaki.org/resources/peel.tar.gz,25,,Parse error,,,
education-data-gov-uk,n/a,http://source.data.gov.uk/data/education/edubase/2009-08-14/edubase-rdf-r2rc3.tgz,25,,done,,,
eunis,Sites,http://eunis.eea.europa.eu/rdf/sites.rdf.gz,25,,done,,,
fu-berlin-cordis,n/a,http://www4.wiwiss.fu-berlin.de/cordis/resource/Project/65146,25,,Parse error,,,
googleart-wrapper,n/a,https://github.com/downloads/cgueret/GoogleArt-wrapper/gartwrapper.nq.gz,25,,CANNOT LOAD,,←-,
staff-organograms-and-pay-scottish-government,n/a,http://www.scotland.gov.uk/Resource/Doc/930/0118325.txt,25,,not found,,,
clean-energy-data-reegle,n/a,http://www.reegle.info/downloads/latest_reegle_dump.nt,23,,done,,,
global-hunger-index-2011,2011 Global Hunger Index (RDF/XML),http://data.ifpri.org/rdf/ghi/raw/Global-Hunger-Index-2011.rdf,23,,done,,,
grrp,n/a,http://dump.linkedopendata.it/grrp,23,,not found,,,
my-experiment,n/a,http://rdf.myexperiment.org/myexperiment.rdf.gz,23,,not found,,,
tcmgenedit_dataset,n/a,http://www.open-biomed.org.uk/tcmdata/tcm_rdf_data_release3_190609.tar.gz,23,,not found,,,
university-of-edinburgh-buildings,n/a,https://bitbucket.org/metazool/ldfocus/raw/0c9f46b8455b/university-of-edinburgh-estates-and-buildings.ttl.txt,23,,Parse error,,,
lingvoj,n/a,http://www.lingvoj.org/ontology.rdf,22,,not found,,,
aemet,Example in turtle,http://aemet.linkeddata.es/resource/WeatherStation/id08001?output=ttl,21,,Parse error,,,
billion_triples_challenge_dataset2008,n/a,http://www.cs.vu.nl/~pmika/swc/btc.html,21,,not found,,,
billion_triples_challenge_dataset_2010,n/a,http://km.aifb.kit.edu/projects/btc-2010/,21,,Parse error,,,
combined-nomenclature-2012,Custom definitions of Combined Nomenclature 2012,http://purl.org/weso/datasets/pscs/psc-ontology.ttl,21,,not found,,,
cpa-2008,Custom definitions of Statistical classification of products by activity (CPA),http://purl.org/weso/datasets/pscs/psc-ontology.ttl,21,,,,,
cpc-2008,Custom definitions of Central Product Classification 2008 (CPC),http://purl.org/weso/datasets/pscs/psc-ontology.ttl,21,,,,,
dbpedia-el,n/a,http://downloads.dbpedia.org/3.6/dbpedia_3.6.owl.bz2,21,,done,,,
dbpedia-fr,RDF schema,http://downloads.dbpedia.org/3.6/dbpedia_3.6.owl.bz2,21,,,,,
dbpedia-it,RDF Schema,http://downloads.dbpedia.org/3.6/dbpedia_3.6.owl.bz2,21,,,,,
enipedia,n/a,http://enipedia.tudelft.nl/downloads/enipedia.rdf,21,,not found,,,
geowordnet,n/a,http://sourceforge.net/projects/s-match/files/datasets/geowordnet-rdf-20110330.zip/download,21,,partly,only loaded root-rdf-files,,
isic-v4,Custom definitions of ISIC V4,http://purl.org/weso/datasets/pscs/psc-ontology.ttl,21,,not found,,,
jamendo-dbtune,n/a,http://moustaki.org/resources/jamendo-rdf.tar.gz,21,,done,,,
