Number of unique subjects: 460,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35]
[10] http://bio2rdf.org/ns/bio2rdf#xGeneIDMapped,115,-,-,-,-,-,-,-,-,-,-,-,59,94,97,88,107,115,90,92,27,30,115,37,36,37,115,2,115,11,113,115,115,115,115,115,115
[11] http://bio2rdf.org/ns/bio2rdf#xMGI,59,-,-,-,-,-,-,-,-,-,-,-,-,53,51,48,58,59,58,49,15,9,59,21,21,24,59,1,59,6,58,59,59,59,59,59,59
[12] http://bio2rdf.org/ns/bio2rdf#xOMIM,94,-,-,-,-,-,-,-,-,-,-,-,-,-,81,72,91,94,82,80,23,18,94,36,36,34,94,2,94,10,92,94,94,94,94,94,94
[13] http://bio2rdf.org/ns/bio2rdf#xPubmed,143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,95,97,78,83,25,20,97,34,34,28,97,2,97,8,95,97,97,97,97,97,97
[14] http://bio2rdf.org/ns/bio2rdf#xRefSeq,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,88,68,75,25,21,88,28,27,28,88,2,88,10,86,88,88,88,88,88,88
[15] http://bio2rdf.org/ns/bio2rdf#xRefSeqMapped,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,90,91,26,23,107,37,36,31,107,2,107,10,105,107,107,107,107,107,107
[16] http://bio2rdf.org/ns/bio2rdf#xSymbol,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,92,27,30,115,37,36,37,115,2,115,11,113,115,115,115,115,115,115
[17] http://bio2rdf.org/ns/bio2rdf#xUniProt,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,16,16,90,29,30,29,90,2,90,10,88,90,90,90,90,90,90
[18] http://bio2rdf.org/ns/hgnc#accession,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,23,92,32,31,28,92,2,92,10,90,92,92,92,92,92,92
[19] http://bio2rdf.org/ns/hgnc#alias,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,27,15,12,10,27,0,27,2,27,27,27,27,27,27,27
[20] http://bio2rdf.org/ns/hgnc#geneFamilyName,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,3,3,12,30,0,30,2,30,30,30,30,30,30,30
[21] http://bio2rdf.org/ns/hgnc#locusType,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,36,37,115,2,115,11,113,115,115,115,115,115,115
[22] http://bio2rdf.org/ns/hgnc#nameChanged,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,18,37,0,37,9,37,37,37,37,37,37,37
[23] http://bio2rdf.org/ns/hgnc#previousName,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,36,1,36,10,35,36,36,36,36,36,36
[24] http://bio2rdf.org/ns/hgnc#previousSymbol,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,1,37,11,36,37,37,37,37,37,37
[25] http://bio2rdf.org/ns/hgnc#recordType,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,115,11,113,115,115,115,115,115,115
[26] http://bio2rdf.org/ns/hgnc#secondaryID,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,2,2,2,2,2,2
[27] http://bio2rdf.org/ns/hgnc#status,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,113,115,115,115,115,115,115
[28] http://bio2rdf.org/ns/hgnc#symbolChanged,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11
[29] http://purl.org/dc/elements/1.1/approved,113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113,113,113,113,113,113
[30] http://purl.org/dc/elements/1.1/identifier,460,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115,115,460,460,115
[31] http://purl.org/dc/elements/1.1/modified,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115,115,115,115
[32] http://purl.org/dc/elements/1.1/title,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115,115,115
[33] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,460,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,460,115
[34] http://www.w3.org/2000/01/rdf-schema#label,460,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115
[35] http://www.w3.org/2002/07/owl#sameAs,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
