Number of unique subjects: 544,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36]
[10] http://rod.eionet.europa.eu/schema.rdf#guidelines,463,-,-,-,-,-,-,-,-,-,-,-,463,463,463,463,463,430,455,463,376,268,183,163,113,48,39,276,463,42,198,297,433,432,58,463,463,463
[11] http://rod.eionet.europa.eu/schema.rdf#instrument,544,-,-,-,-,-,-,-,-,-,-,-,-,544,544,544,544,503,528,544,431,339,233,213,165,55,45,351,544,53,235,311,504,497,85,544,544,544
[12] http://rod.eionet.europa.eu/schema.rdf#isEEACore,544,-,-,-,-,-,-,-,-,-,-,-,-,-,544,544,544,503,528,544,431,339,233,213,165,55,45,351,544,53,235,311,504,497,85,544,544,544
[13] http://rod.eionet.europa.eu/schema.rdf#isEEAPrimary,544,-,-,-,-,-,-,-,-,-,-,-,-,-,-,544,544,503,528,544,431,339,233,213,165,55,45,351,544,53,235,311,504,497,85,544,544,544
[14] http://rod.eionet.europa.eu/schema.rdf#isFlagged,544,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,544,503,528,544,431,339,233,213,165,55,45,351,544,53,235,311,504,497,85,544,544,544
[15] http://rod.eionet.europa.eu/schema.rdf#isTerminated,544,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,503,528,544,431,339,233,213,165,55,45,351,544,53,235,311,504,497,85,544,544,544
[16] http://rod.eionet.europa.eu/schema.rdf#issue,810,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,493,503,395,313,213,204,150,53,44,324,503,51,218,284,467,459,80,503,503,503
[17] http://rod.eionet.europa.eu/schema.rdf#lastHarvested,528,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,528,419,330,225,204,156,55,45,341,528,53,227,306,491,485,78,528,528,528
[18] http://rod.eionet.europa.eu/schema.rdf#lastUpdate,544,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,431,339,233,213,165,55,45,351,544,53,235,311,504,497,85,544,544,544
[19] http://rod.eionet.europa.eu/schema.rdf#nextUpdate,431,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,265,186,155,118,51,42,275,431,40,207,272,425,426,62,431,431,431
[20] http://rod.eionet.europa.eu/schema.rdf#nextdeadline,339,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,233,170,137,44,34,339,339,45,146,161,308,302,65,339,339,339
[21] http://rod.eionet.europa.eu/schema.rdf#nextdeadline2,233,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,104,26,20,233,233,25,113,103,207,202,40,233,233,233
[22] http://rod.eionet.europa.eu/schema.rdf#otherClient,280,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111,26,18,180,213,30,111,71,185,184,53,213,213,213
[23] http://rod.eionet.europa.eu/schema.rdf#primaryRepository,165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,14,147,165,41,94,44,146,140,64,165,165,165
[24] http://rod.eionet.europa.eu/schema.rdf#reportingFrequency,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,45,55,13,26,26,54,53,22,55,55,55
[25] http://rod.eionet.europa.eu/schema.rdf#reportingFrequencyDetail,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,45,12,22,22,44,43,18,45,45,45
[26] http://rod.eionet.europa.eu/schema.rdf#reportingFrequencyMonths,351,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,351,51,153,162,319,313,72,351,351,351
[27] http://rod.eionet.europa.eu/schema.rdf#requester,544,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,235,311,504,497,85,544,544,544
[28] http://rod.eionet.europa.eu/schema.rdf#responsibleRole,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,11,50,50,35,53,53,53
[29] http://rod.eionet.europa.eu/schema.rdf#validSince,235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127,225,224,42,235,235,235
[30] http://rod.eionet.europa.eu/schema.rdf#validatedBy,311,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,306,311,17,311,311,311
[31] http://rod.eionet.europa.eu/schema.rdf#verified,504,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,492,76,504,504,504
[32] http://rod.eionet.europa.eu/schema.rdf#verifiedBy,497,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72,497,497,497
[33] http://rod.eionet.europa.eu/schema.rdf#voluntaryReporter,719,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,85,85
[34] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,544,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,544,544
[35] http://www.w3.org/2000/01/rdf-schema#label,544,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,544
[36] http://www.w3.org/2004/02/skos/core#notation,544,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
