Number of unique subjects: 396,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69]
[31] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/hasMember,2152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,16,16,0,0,0,0,0,68,68,68,0,0,0,0,0,31,30,12,69,69,70,0,0,0,0,0,0,0,0,0,0,0,27,0
[32] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/hasMinLatitude,188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188,0,187,2,28,187,187,187,187,188,188,188,188,188,188,188,188,188,0,0,0,188,188,188,0,0,0,0,0,0,0,0,0,0,0,188,0
[33] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/hasMinLongitude,188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,187,2,28,187,187,187,187,188,188,188,188,188,188,188,188,188,0,0,0,188,188,188,0,0,0,0,0,0,0,0,0,0,0,188,0
[34] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/isAdministeredBy,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,1,4,22,22,22,22,22,27,28,27,22,22,22,22,22,0,0,0,27,27,28,0,0,0,0,0,0,0,0,0,0,0,23,0
[35] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/isInGroup,1934,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,32,206,206,206,206,208,209,210,209,209,208,208,208,208,0,0,0,209,209,210,2,0,0,0,0,0,0,0,0,0,0,209,0
[36] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/isPredecessorOf,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,3,7,7,7,3,21,29,28,3,3,3,3,3,5,5,0,32,32,32,0,0,0,0,0,0,0,0,0,0,0,10,0
[37] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/isSuccessorOf,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,31,31,31,30,52,53,52,31,30,30,30,30,14,13,4,53,53,53,0,0,0,0,0,0,0,0,0,0,0,37,0
[38] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/landAreaNotes,219,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,219,219,219,219,219,219,219,219,219,219,219,219,0,0,0,218,218,219,2,0,0,0,0,0,0,0,0,0,0,219,0
[39] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/landAreaTotal,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,223,219,220,223,223,219,219,219,219,219,0,0,0,222,222,223,2,0,0,0,0,0,0,0,0,0,0,220,0
[40] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/landAreaUnit,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,219,220,223,223,219,219,219,219,219,0,0,0,222,222,223,2,0,0,0,0,0,0,0,0,0,0,220,0
[41] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/landAreaYear,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,219,220,223,223,219,219,219,219,219,0,0,0,222,222,223,2,0,0,0,0,0,0,0,0,0,0,220,0
[42] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/nameCurrency,1398,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221,221,221,221,221,221,221,221,0,0,0,220,220,221,2,0,0,0,0,0,0,0,0,0,0,221,0
[43] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/nameList,1944,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300,299,222,221,221,221,221,31,30,12,298,298,300,2,0,0,0,0,0,0,0,0,0,0,251,0
[44] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/nameOfficial,2031,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,307,222,221,221,221,221,31,30,12,307,307,309,2,0,0,0,0,0,0,0,0,0,0,256,0
[45] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/nameShort,1930,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,222,221,221,221,221,31,30,12,305,305,307,2,0,0,0,0,0,0,0,0,0,0,255,0
[46] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/nationality,1553,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221,221,221,221,0,0,0,221,221,222,2,0,0,0,0,0,0,0,0,0,0,221,0
[47] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/populationNotes,221,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221,221,221,0,0,0,220,220,221,2,0,0,0,0,0,0,0,0,0,0,221,0
[48] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/populationTotal,221,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221,221,0,0,0,220,220,221,2,0,0,0,0,0,0,0,0,0,0,221,0
[49] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/populationUnit,221,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221,0,0,0,220,220,221,2,0,0,0,0,0,0,0,0,0,0,221,0
[50] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/populationYear,221,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,220,220,221,2,0,0,0,0,0,0,0,0,0,0,221,0
[51] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/sourceCreator,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,36,31,31,58,0,4,6,3,20,0,3,3,0,0,0,6,0
[52] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/sourceIdentifier,149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,30,30,57,0,4,6,3,20,0,3,3,0,0,0,6,0
[53] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/sourceModified,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,36,0,4,5,3,17,0,3,3,0,0,0,2,0
[54] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/validSince,310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,310,310,2,0,0,0,0,0,0,0,0,0,0,254,0
[55] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/validUntil,310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,310,2,0,0,0,0,0,0,0,0,0,0,254,0
[56] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,399,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,16,41,11,49,1,8,5,1,1,1,256,1
[57] http://www.w3.org/2000/01/rdf-schema#comment,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,0,0,0,0,0,0,0,2,1
[58] http://www.w3.org/2000/01/rdf-schema#domain,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,0,0,0,0,5,0,0,0,0,0
[59] http://www.w3.org/2000/01/rdf-schema#range,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,26,0,0,5,0,0,0,0,0
[60] http://www.w3.org/2000/01/rdf-schema#subClassOf,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,8,0,0,0,0,0,0
[61] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0
[62] http://www.w3.org/2002/07/owl#allValuesFrom,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,0,0
[63] http://www.w3.org/2002/07/owl#disjointWith,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
[64] http://www.w3.org/2002/07/owl#inverseOf,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
[65] http://www.w3.org/2002/07/owl#maxCardinality,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0
[66] http://www.w3.org/2002/07/owl#minCardinality,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0
[67] http://www.w3.org/2002/07/owl#onProperty,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[68] http://www.w3.org/2002/07/owl#sameAs,471,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[69] http://www.w3.org/2002/07/owl#versionInfo,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
