Number of unique subjects: 476,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34]
[18] http://bio2rdf.org/ns/hgnc#accession,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,30,91,29,29,25,91,91,10,89,91,91,91,91,91,91
[19] http://bio2rdf.org/ns/hgnc#alias,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,21,8,7,6,21,21,2,20,21,21,21,21,21,21
[20] http://bio2rdf.org/ns/hgnc#geneFamilyName,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,14,15,13,34,34,5,34,34,34,34,34,34,34
[21] http://bio2rdf.org/ns/hgnc#locusType,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,45,39,119,119,11,116,119,119,119,119,119,119
[22] http://bio2rdf.org/ns/hgnc#nameChanged,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,31,45,45,10,45,45,45,45,45,45,45
[23] http://bio2rdf.org/ns/hgnc#previousName,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,45,45,11,45,45,45,45,45,45,45
[24] http://bio2rdf.org/ns/hgnc#previousSymbol,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,39,11,39,39,39,39,39,39,39
[25] http://bio2rdf.org/ns/hgnc#recordType,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119,11,116,119,119,119,119,119,119
[26] http://bio2rdf.org/ns/hgnc#status,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,116,119,119,119,119,119,119
[27] http://bio2rdf.org/ns/hgnc#symbolChanged,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11
[28] http://purl.org/dc/elements/1.1/approved,116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116,116,116,116,116,116
[29] http://purl.org/dc/elements/1.1/identifier,476,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119,119,476,476,119
[30] http://purl.org/dc/elements/1.1/modified,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119,119,119,119
[31] http://purl.org/dc/elements/1.1/title,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119,119,119
[32] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,476,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,476,119
[33] http://www.w3.org/2000/01/rdf-schema#label,476,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119
[34] http://www.w3.org/2002/07/owl#sameAs,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
