Number of unique subjects: 627259,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78],[79],[80],[81],[82],[83],[84],[85],[86],[87],[88],[89],[90],[91],[92],[93],[94],[95],[96],[97],[98],[99],[100],[101],[102],[103],[104],[105],[106],[107],[108],[109],[110],[111],[112],[113],[114],[115],[116],[117],[118],[119],[120],[121],[122],[123],[124],[125],[126],[127],[128],[129],[130],[131],[132],[133],[134],[135],[136],[137],[138],[139],[140],[141],[142],[143],[144],[145],[146],[147],[148],[149],[150],[151],[152],[153],[154],[155],[156],[157],[158],[159],[160],[161],[162],[163],[164],[165],[166],[167],[168],[169],[170],[171],[172],[173],[174],[175],[176],[177],[178],[179],[180],[181],[182],[183],[184],[185],[186],[187],[188],[189],[190],[191],[192]
[56] http://education.data.gov.uk/def/school/boys17,65595,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64353,65203,64577,64640,59530,55395,57695,63498,63487,63400,63687,63797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63627,64347,64769,64712,64729,64759,64779,65219,64122,65177,64564,64626,59317,55002,57131,63361,63438,63417,63522,63622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65240,65022,65316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2633,2632,1303,0,2165,0,2421,2411,0,0,0,0,0,0,0,0,25647,0,0,0,0,0,65595,0,0,0,0,0,0,0,0,0
[57] http://education.data.gov.uk/def/school/boys18,64660,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64397,63660,63706,58630,54498,56809,62571,62559,62468,62751,62862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62724,63404,63859,63775,63791,63829,63857,64336,63925,64378,63644,63696,58428,54114,56237,62441,62527,62487,62604,62698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64291,64076,64374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2514,2513,1308,0,2045,0,2314,2304,0,0,0,0,0,0,0,0,24707,0,0,0,0,0,64660,0,0,0,0,0,0,0,0,0
[58] http://education.data.gov.uk/def/school/boys19plus,65794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64753,64772,59649,55536,57815,63552,63542,63448,63726,63850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63662,64344,64783,64718,64734,64766,64763,65200,64252,65487,64745,64776,59480,55172,57275,63432,63498,63471,63567,63668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65418,65198,65504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2670,2669,1348,0,2155,0,2431,2421,0,0,0,0,0,0,0,0,25810,0,0,0,0,0,65794,0,0,0,0,0,0,0,0,0
[59] http://education.data.gov.uk/def/school/boys2,65162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64388,59411,55401,57602,63091,63061,62967,63207,63315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63144,63817,64203,64123,64126,64149,64158,64576,63474,64730,64707,64381,59239,55073,57075,63008,63059,63007,63078,63179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64806,64577,64876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2414,2413,1185,0,1905,0,2165,2155,0,0,0,0,0,0,0,0,25328,0,0,0,0,0,65162,0,0,0,0,0,0,0,0,0
[60] http://education.data.gov.uk/def/school/boys3,65192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59443,55387,57623,63212,63175,63067,63347,63429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63275,63888,64287,64208,64212,64232,64227,64649,63528,64751,64369,64660,59228,55000,57071,63104,63171,63132,63221,63315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64858,64622,64914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2521,2520,1222,0,2010,0,2279,2269,0,0,0,0,0,0,0,0,25278,0,0,0,0,0,65192,0,0,0,0,0,0,0,0,0
[61] http://education.data.gov.uk/def/school/boys4a,60048,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53824,55762,59144,59050,58871,59032,59049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58926,58907,59222,59127,59127,59144,59146,59543,58441,59625,59408,59457,57126,53393,55184,59152,59160,59031,59039,59056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59695,59477,59774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2126,2125,1044,0,1631,0,1883,1873,0,0,0,0,0,0,0,0,20259,0,0,0,0,0,60048,0,0,0,0,0,0,0,0,0
[62] http://education.data.gov.uk/def/school/boys4b,55932,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53181,54826,54748,54642,54757,54842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54721,54860,55064,54981,54980,54991,55003,55406,54324,55511,55392,55399,53770,52193,52873,54892,54865,54784,54785,54814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55561,55351,55646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1999,992,0,1504,0,1759,1749,0,0,0,0,0,0,0,0,16204,0,0,0,0,0,55932,0,0,0,0,0,0,0,0,0
[63] http://education.data.gov.uk/def/school/boys4c,58211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57337,57248,57070,57171,57238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57116,57127,57392,57318,57308,57324,57328,57715,56631,57792,57590,57613,55575,52842,54360,57353,57329,57226,57250,57252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57838,57638,57924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,2012,988,0,1535,0,1780,1770,0,0,0,0,0,0,0,0,18455,0,0,0,0,0,58211,0,0,0,0,0,0,0,0,0
[64] http://education.data.gov.uk/def/school/boys5,63960,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62931,62726,62954,62930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62788,62835,63233,63132,63140,63141,63120,63513,62388,63533,63068,63195,58854,54416,56672,62788,62840,62806,62838,62871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63597,63411,63675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2387,2386,1154,0,1910,0,2159,2149,0,0,0,0,0,0,0,0,24095,0,0,0,0,0,63960,0,0,0,0,0,0,0,0,0
[65] http://education.data.gov.uk/def/school/boys6,63949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62747,62986,62951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62776,62850,63243,63145,63150,63154,63107,63512,62383,63518,63052,63177,58787,54300,56602,62757,62808,62786,62881,62921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63592,63419,63669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2399,2398,1147,0,1921,0,2170,2161,0,0,0,0,0,0,0,0,24108,0,0,0,0,0,63949,0,0,0,0,0,0,0,0,0
[66] http://education.data.gov.uk/def/school/boys7,63855,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62884,62901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62669,62785,63168,63079,63065,63075,63012,63411,62275,63419,62956,63059,58607,54209,56452,62574,62633,62635,62721,62763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63498,63330,63575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2396,2395,1127,0,1918,0,2167,2158,0,0,0,0,0,0,0,0,24024,0,0,0,0,0,63855,0,0,0,0,0,0,0,0,0
[67] http://education.data.gov.uk/def/school/boys8,64134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62955,63064,63453,63384,63378,63382,63294,63711,62571,63698,63215,63317,58755,54335,56573,62760,62834,62827,62949,63013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63782,63613,63855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2415,2414,1139,0,1956,0,2199,2188,0,0,0,0,0,0,0,0,24283,0,0,0,0,0,64134,0,0,0,0,0,0,0,0,0
[68] http://education.data.gov.uk/def/school/boys9,64253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63032,63144,63573,63485,63488,63488,63407,63810,62666,63820,63306,63403,58804,54382,56646,62781,62856,62866,62962,63053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63903,63722,63982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2414,2413,1158,0,1957,0,2203,2193,0,0,0,0,0,0,0,0,24382,0,0,0,0,0,64253,0,0,0,0,0,0,0,0,0
[69] http://education.data.gov.uk/def/school/burnhamGroup,55942,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28863,53480,55942,1306,9511,2119,12,2110,1208,2086,1,717,6921,53965,104,1389,264,1102,55940,33213,55942,212,32,417,31852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,53803,261,772,1984,159,1927,55942,55942,1405,55942,759,1975,3084,30589,1964,961,0,0,0,21781,4160,24956,55942,3535,53498,26943,203,0,6323,12279,2070,3639,390,0,22639,48536,23326,569,1504,26142,55926,31807,31797,55941,26,0,0,0,2178,0,2168,0,0,0,156,157,55942,55942,53628,54846,11700,0,0,0,0,0,0,55942,55940,0,54293,54293,0,0,0,0,0
[70] http://education.data.gov.uk/def/school/burnhamReport,28863,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27997,28863,388,7723,427,0,426,411,418,0,214,6891,28005,79,1382,250,1089,28863,28863,28863,207,28,1,27896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,27605,247,195,419,17,421,28863,28863,1386,28863,194,419,3065,27316,413,308,0,0,0,20118,3971,24649,28863,1480,28001,26294,190,0,5432,11293,420,3091,232,0,20,28655,21488,569,1274,24153,28860,27923,27923,28863,23,0,0,0,465,0,465,0,0,0,155,156,28863,28863,28001,28027,11306,0,0,0,0,0,0,28863,28863,0,28007,28007,0,0,0,0,0
[71] http://education.data.gov.uk/def/school/censusAreaStatisticWard,63631,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63282,1482,8718,2556,15,2674,1221,2695,7,746,7064,63631,105,1389,550,1104,63631,36126,63631,214,57,424,33873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,62274,558,900,2339,164,2415,63631,63631,1418,63631,890,2338,3142,31318,2405,1257,0,0,0,23297,4684,25938,61263,11478,63631,28908,465,0,6330,12314,2489,3876,8230,0,21768,49483,25095,570,2040,27132,55560,33650,33603,53481,80,0,0,0,2833,0,2781,0,0,0,163,165,63631,63631,63631,63631,11999,0,0,0,0,0,0,63631,63631,0,63227,63227,0,0,0,0,0
[72] http://education.data.gov.uk/def/school/censusRecord,66243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1486,9852,2581,15,2668,1224,2677,7,747,7069,63834,106,1390,533,1105,66241,37743,66243,213,57,424,34435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,63934,541,905,2351,165,2406,66243,66243,1420,66243,894,2353,3144,32479,2405,1250,0,0,0,23263,4644,25996,64195,11674,63314,29699,447,0,6333,12325,2501,3951,8512,0,22643,50933,24986,570,1999,27126,58032,34037,33988,55943,81,0,0,0,2862,0,2803,0,0,0,162,163,66243,66243,63449,65119,12019,0,0,0,0,0,0,66243,66241,0,64115,64115,0,0,0,0,0
[73] http://education.data.gov.uk/def/school/charity,1495,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,162,1462,14,1462,967,1439,7,551,0,1492,0,0,0,1,1495,1495,1495,1,0,0,1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,538,1369,87,1373,1495,1495,10,1495,529,1360,0,1284,1358,511,0,0,0,1383,144,23,1483,1488,1488,0,0,0,529,536,1435,164,199,0,1,929,1480,0,80,1249,1306,1495,1490,1306,0,0,0,0,1479,0,1471,0,0,0,0,0,1495,1495,1488,1495,262,0,0,0,0,0,0,1495,1495,0,1481,1481,0,0,0,0,0
[74] http://education.data.gov.uk/def/school/closeDate,9854,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,391,0,384,72,385,0,49,460,8725,6,334,181,199,9854,9773,9854,22,10,56,8448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,8163,181,222,336,16,86,9854,9854,269,9854,223,343,122,9105,288,270,0,0,0,3196,1007,4075,9844,858,8719,6854,145,0,1212,2129,336,3905,393,0,72,9174,2271,3,362,5120,9525,8428,8426,9510,17,0,0,0,409,0,393,0,0,0,1,1,9854,9854,8736,8838,745,0,0,0,0,0,0,9854,9854,0,8730,8730,0,0,0,0,0
[75] http://education.data.gov.uk/def/school/compSchoolAge,2583,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,2513,1219,2504,7,743,0,2577,0,0,0,1,2583,2583,2583,4,0,0,2582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2579,0,861,2282,164,2261,2583,2583,12,2583,848,2274,0,2132,2281,898,0,0,0,2305,249,37,2562,2571,2568,0,0,0,815,831,2427,382,483,0,1,1419,2538,0,388,2152,2140,2581,2567,2118,0,0,0,0,2583,0,2537,0,0,0,0,0,2583,2583,2568,2583,353,0,0,0,0,0,0,2583,2583,0,2560,2560,0,0,0,0,0
[76] http://education.data.gov.uk/def/school/dateofLastBridgeVisit,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,0,14,0,0,0,15,0,0,0,0,15,15,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,11,0,15,15,15,0,15,0,10,0,12,12,7,0,0,0,15,1,0,15,15,15,0,0,0,5,5,15,0,3,0,0,15,15,0,0,11,12,15,15,12,0,0,0,0,15,0,15,0,0,0,0,0,15,15,15,15,3,0,0,0,0,0,0,15,15,0,15,15,0,0,0,0,0
[77] http://education.data.gov.uk/def/school/dateofLastFPVisit,2703,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1219,2657,7,743,0,2700,0,0,0,0,2703,2703,2703,6,0,0,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2679,0,889,2314,164,2390,2703,2703,6,2703,880,2307,0,2219,2387,975,0,0,0,2432,244,31,2650,2694,2686,0,0,0,812,830,2459,376,610,0,1,1527,2655,0,490,2262,2130,2701,2687,2110,0,0,0,0,2632,0,2583,0,0,0,0,0,2703,2703,2686,2703,354,0,0,0,0,0,0,2703,2703,0,2649,2649,0,0,0,0,0
[78] http://education.data.gov.uk/def/school/dateofLastISIVisit,1224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1191,2,543,0,1224,0,0,0,0,1224,1224,1224,1,0,0,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224,0,497,1198,66,1216,1224,1224,0,1224,492,1201,0,1141,1156,366,0,0,0,1174,80,2,1224,1217,1224,0,0,0,527,532,1207,72,25,0,1,674,1222,0,9,1194,1207,1224,1220,1208,0,0,0,0,1221,0,1221,0,0,0,0,0,1224,1224,1224,1224,254,0,0,0,0,0,0,1224,1224,0,1224,1224,0,0,0,0,0
[79] http://education.data.gov.uk/def/school/dateofLastOfstedVisit,2730,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,735,0,2726,0,0,0,0,2730,2730,2730,6,0,0,2729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2693,0,889,2306,165,2411,2730,2730,6,2730,877,2302,0,2215,2404,997,0,0,0,2454,243,31,2652,2723,2708,0,0,0,803,822,2455,377,661,0,1,1555,2683,0,530,2272,2108,2728,2714,2085,0,0,0,0,2637,0,2576,0,0,0,0,0,2730,2730,2708,2730,350,0,0,0,0,0,0,2730,2730,0,2648,2648,0,0,0,0,0
[80] http://education.data.gov.uk/def/school/dateofLastSISVisit,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,7,0,0,0,0,7,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2,0,7,7,7,0,7,1,2,0,6,2,3,0,0,0,7,1,0,7,7,7,0,0,0,1,1,7,0,6,0,0,7,7,0,0,1,1,7,7,1,0,0,0,0,7,0,7,0,0,0,0,0,7,7,7,7,1,0,0,0,0,0,0,7,7,0,7,7,0,0,0,0,0
[81] http://education.data.gov.uk/def/school/dateofLastWelfareVisit,747,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,747,0,0,0,0,747,747,747,2,0,0,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,0,623,668,79,724,747,747,0,747,611,671,0,677,691,245,0,0,0,710,65,7,746,745,747,0,0,0,373,377,735,50,36,0,1,405,745,0,126,719,717,747,746,717,0,0,0,0,747,0,744,0,0,0,0,0,747,747,747,747,133,0,0,0,0,0,0,747,747,0,746,746,0,0,0,0,0
[82] http://education.data.gov.uk/def/school/diocese,7069,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7065,1,264,0,210,7069,7067,7069,35,5,0,7068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7069,0,0,0,0,0,7069,7069,233,7069,0,0,466,6726,0,24,0,0,0,6454,623,7046,7069,306,7065,7064,0,0,1614,3277,0,434,229,0,9,7069,6896,105,16,6810,6922,7068,7068,6921,0,0,0,0,2,0,2,0,0,0,0,0,7069,7069,7065,7068,3405,0,0,0,0,0,0,7069,7069,0,7066,7066,0,0,0,0,0
[83] http://education.data.gov.uk/def/school/districtAdministrative,64222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,1389,552,1104,64222,36220,64222,215,57,425,33949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,62855,560,904,2356,165,2445,64222,64222,1418,64222,894,2354,3143,31347,2430,1269,0,0,0,23338,4691,25944,61796,11579,63661,28935,468,0,6335,12324,2517,3879,8304,0,22225,49560,25140,570,2054,27150,56057,33733,33686,53966,81,0,0,0,2858,0,2797,0,0,0,163,165,64222,64222,63666,64222,12007,0,0,0,0,0,0,64222,64222,0,63761,63761,0,0,0,0,0
[84] http://education.data.gov.uk/def/school/earlyExcellence,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,8,107,85,107,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105,1,0,0,0,0,107,107,0,107,0,0,1,75,0,0,0,0,0,80,2,83,106,9,105,81,1,0,13,31,0,6,4,0,22,103,20,0,3,22,104,84,84,104,0,0,0,0,0,0,0,0,0,0,0,1,107,107,105,107,19,0,0,0,0,0,0,107,107,0,104,104,0,0,0,0,0
